Puzzle,Response
1 1 1 11,1 + 11 = 12 (left: 1 1 12)\n1 + 1 = 2 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (1 + 11) * (1 + 1) = 24
10 10 12 12,12 - 10 = 2 (left: 2 10 12)\n2 + 10 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: (12 - 10 + 10) + 12 = 24
9 9 12 12,9 - 9 = 0 (left: 0 12 12)\n12 + 12 = 24 (left: 0 24)\n24 + 0 = 24 (left: 24)\nAnswer: (12 + 12) + (9 - 9) = 24
1 6 8 12,12 - 8 = 4 (left: 1 6 4)\n6 / 1 = 6 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (12 - 8) * (6 / 1) = 24
3 8 11 11,11 - 8 = 3 (left: 3 3 11)\n11 - 3 = 8 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (11 - (11 - 8)) * 3 = 24
11 12 12 12,12 - 11 = 1 (left: 1 12 12)\n12 * 1 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: (12 - 11) * 12 + 12 = 24
3 8 9 9,9 - 3 = 6 (left: 6 8 9)\n9 - 6 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (9 - (9 - 3)) * 8 = 24
2 12 13 13,13 - 13 = 0 (left: 0 2 12)\n12 * 2 = 24 (left: 0 24)\n24 + 0 = 24 (left: 24)\nAnswer: (12 * 2) + (13 - 13) = 24
4 4 12 12,12 / 4 = 3 (left: 3 4 12)\n4 * 3 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: ((12 / 4) * 4) + 12 = 24
1 3 4 12,1 * 12 = 12 (left: 3 4 12)\n3 * 4 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: (1 * 12) + (3 * 4) = 24
3 5 5 8,5 + 3 = 8 (left: 5 8 8)\n8 + 8 = 16 (left: 5 16)\n16 - 5 = 11 (left: 11)\n3 * 8 = 24 (left: 5 5 24)\n5 - 5 = 0 (left: 0 24)\n24 + 0 = 24 (left: 24)\nAnswer: (3 * 8) + (5 - 5) = 24
1 8 8 12,8 / 8 = 1 (left: 1 1 12)\n1 + 1 = 2 (left: 2 12)\n2 * 12 = 24 (left: 24)\nAnswer: (8 / 8 + 1) * 12 = 24
2 7 7 8,2 + 8 = 10 (left: 7 7 10)\n7 + 7 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: (2 + 8) + (7 + 7) = 24
5 5 7 7,5 + 7 = 12 (left: 5 7 12)\n5 + 7 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: ((5 + 7) + (5 + 7)) = 24
2 2 12 12,12 / 2 = 6 (left: 2 6 12)\n6 * 2 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: ((12 / 2) * 2) + 12 = 24
2 2 2 3,2 + 2 = 4 (left: 2 3 4)\n2 * 3 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (2 * 3) * (2 + 2) = 24
8 9 12 12,12 - 8 = 4 (left: 4 9 12)\n9 - 4 = 5 (left: 5 12)\n5 * 12 = 60 (left: 60)\n12 + 12 = 24 (left: 8 9 24)\n9 - 8 = 1 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (12 + 12) * (9 - 8) = 24
4 6 9 9,9 - 4 = 5 (left: 5 6 9)\n9 - 5 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (9 - (9 - 4)) * 6 = 24
6 6 11 13,13 - 11 = 2 (left: 6 6 2)\n6 + 6 = 12 (left: 12 2)\n12 * 2 = 24 (left: 24)\nAnswer:  (13 - 11) * (6 + 6) = 24
1 4 4 12,12 - 4 = 8 (left: 1 4 8)\n4 - 1 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (12 - 4) * (4 - 1) = 24
3 4 11 13,13 - 11 = 2 (left: 2 3 4)\n3 * 4 = 12 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: ((13 - 11) * (3 * 4)) = 24
2 4 4 12,2 * 12 = 24 (left: 4 4 24)\n4 - 4 = 0 (left: 0 24)\n24 + 0 = 24 (left: 24)\nAnswer: 2 * (12 + (4 - 4)) = 24
2 10 10 12,10 + 2 = 12 (left: 10 12 12)\n12 - 10 = 2 (left: 12 2)\n12 * 2 = 24 (left: 24)\nAnswer: (12 - 10) * (10 + 2) = 24
3 6 6 8,6 + 6 = 12 (left: 3 8 12)\n8 + 12 = 20 (left: 3 20)\n20 + 3 = 23 (left: 23)\n6 * 6 = 36 (left: 3 8 36)\n36 - 8 = 28 (left: 3 28)\n28 - 3 = 25 (left: 25)\n6 / 3 = 2 (left: 2 6 8)\n8 - 2 = 6 (left: 6 6)\n6 * 6 = 36 (left: 36)\n8 - 6 = 2 (left: 3 6 2)\n3 * 6 = 18 (left: 18 2)\n18 + 2 = 20 (left: 20)\n6 - 3 = 3 (left: 3 6 8)\n8 - 3 = 5 (left: 6 5)\n6 * 5 = 30 (left: 30)\n8 - 3 = 5 (left: 6 6 5)\n5 * 6 = 30 (left: 6 30)\n30 - 6 = 24 (left: 24)\nAnswer: ((8 - 3) * 6) - 6 = 24
3 7 10 10,10 - 7 = 3 (left: 3 3 10)\n3 + 3 = 6 (left: 6 10)\n10 + 6 = 16 (left: 16)\n10 - 7 = 3 (left: 3 3 10)\n10 + 3 = 13 (left: 3 13)\n13 + 3 = 16 (left: 16)\n10 - 3 = 7 (left: 7 7 10)\n7 + 7 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: ((10 - 3) + 7) + 10 = 24
2 11 12 12,12 - 11 = 1 (left: 1 2 12)\n1 * 2 = 2 (left: 2 12)\n2 * 12 = 24 (left: 24)\nAnswer: (12 - 11) * 2 * 12 = 24
4 7 7 8,7 + 7 = 14 (left: 4 8 14)\n14 - 4 = 10 (left: 8 10)\n8 + 10 = 18 (left: 18)\n7 + 7 = 14 (left: 4 8 14)\n14 - 8 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: 4 * ((7 + 7) - 8) = 24
1 2 3 10,1 + 2 = 3 (left: 3 3 10)\n3 * 3 = 9 (left: 9 10)\n1 + 3 = 4 (left: 2 4 10)\n4 * 2 = 8 (left: 8 10)\n3 * 2 = 6 (left: 1 6 10)\n10 - 6 = 4 (left: 1 4)\n10 * 2 = 20 (left: 1 3 20)\n20 + 3 = 23 (left: 1 23)\n23 + 1 = 24 (left: 24)\nAnswer: (10 * 2 + 3) + 1 = 24
3 3 3 6,3 + 3 = 6 (left: 3 6 6)\n6 * 3 = 18 (left: 6 18)\n18 + 6 = 24 (left: 24)\nAnswer: (3 + 3) * 3 + 6 = 24
4 4 10 13,13 - 10 = 3 (left: 3 4 4)\n4 * 4 = 16 (left: 3 16)\n3 + 16 = 19 (left: 19)\n13 - 4 = 9 (left: 9 4 10)\n9 - 4 = 5 (left: 5 10)\n5 * 10 = 50 (left: 50)\n13 + 10 = 23 (left: 4 4 23)\n23 - 4 = 19 (left: 4 19)\n4 * 4 = 16 (left: 16)\n4 + 4 = 8 (left: 8 10 13)\n13 - 10 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (4 + 4) * (13 - 10) = 24
1 2 13 13,13 + 13 = 26 (left: 1 2 26)\n26 - 2 = 24 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (13 + 13 - 2) * 1 = 24
1 4 8 8,8 / 4 = 2 (left: 1 2 8)\n1 + 2 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (1 + 8 / 4) * 8 = 24
1 5 10 10,10 + 10 = 20 (left: 1 5 20)\n20 + 5 = 25 (left: 1 25)\n25 - 1 = 24 (left: 24)\nAnswer:  ((10 + 10) + 5) - 1 = 24
1 8 10 13,1 + 13 = 14 (left: 8 10 14)\n14 - 10 = 4 (left: 4 8)\n4 * 8 = 32 (left: 32)\n8 * 1 = 8 (left: 10 13 8)\n13 - 10 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (13 - 10) * (8 * 1) = 24
7 9 11 11,11 - 9 = 2 (left: 7 11 2)\n7 * 2 = 14 (left: 11 14)\n14 + 11 = 25 (left: 25)\n11 - 9 = 2 (left: 7 11 2)\n11 + 7 = 18 (left: 18 2)\n18 - 2 = 16 (left: 16)\n11 - 11 = 0 (left: 7 9 0)\n9 + 0 = 9 (left: 7 9)\n7 * 9 = 63 (left: 63)\n9 - 7 = 2 (left: 11 11 2)\n11 + 11 = 22 (left: 22 2)\n22 + 2 = 24 (left: 24)\nAnswer:  (9 - 7) + (11 + 11) = 24
2 12 12 13,13 - 12 = 1 (left: 1 2 12)\n12 * 2 = 24 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (13 - 12) * (12 * 2) = 24
6 7 11 12,12 - 6 = 6 (left: 6 7 11)\n7 - 6 = 1 (left: 1 11)\n11 * 1 = 11 (left: 11)\n6 + 11 = 17 (left: 7 12 17)\n12 - 7 = 5 (left: 5 17)\n17 - 5 = 12 (left: 12)\n6 * 7 = 42 (left: 11 12 42)\n42 - 12 = 30 (left: 11 30)\n30 - 11 = 19 (left: 19)\n6 * 12 = 72 (left: 7 11 72)\n72 - 11 = 61 (left: 7 61)\n61 - 7 = 54 (left: 54)\n11 + 12 = 23 (left: 6 7 23)\n23 + 7 = 30 (left: 6 30)\n30 - 6 = 24 (left: 24)\nAnswer: ((11 + 12) + 7) - 6 = 24
1 2 10 11,2 + 10 = 12 (left: 1 11 12)\n11 + 1 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: (2 + 10) + (11 + 1) = 24
1 5 8 9,1 + 9 = 10 (left: 5 8 10)\n5 * 8 = 40 (left: 10 40)\n1 + 8 = 9 (left: 5 9 9)\n5 + 9 = 14 (left: 9 14)\n9 - 1 = 8 (left: 5 8 8)\n5 + 8 = 13 (left: 8 13)\n8 + 9 = 17 (left: 1 5 17)\n17 - 1 = 16 (left: 5 16)\n8 + 5 = 13 (left: 1 9 13)\n9 + 1 = 10 (left: 10 13)\n9 - 5 = 4 (left: 1 8 4)\n1 + 8 = 9 (left: 9 4)\n9 - 1 = 8 (left: 5 8 8)\n8 - 5 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (9 - 1) * (8 - 5) = 24
1 8 8 9,8 - 1 = 7 (left: 7 8 9)\n9 - 7 = 2 (left: 2 8)\n8 * 2 = 16 (left: 16)\n8 - 1 = 7 (left: 7 8 9)\n9 - 7 = 2 (left: 2 8)\n8 * 2 = 16 (left: 16)\n8 + 8 = 16 (left: 1 9 16)\n16 - 9 = 7 (left: 1 7)\n8 / 1 = 8 (left: 8 8 9)\n9 + 8 = 17 (left: 8 17)\n8 + 8 = 16 (left: 1 9 16)\n16 - 9 = 7 (left: 1 7)\n9 - 1 = 8 (left: 8 8 8)\n8 + 8 = 16 (left: 16 8)\n16 + 8 = 24 (left: 24)\nAnswer:  (9 - 1) + (8 + 8) = 24
3 6 10 11,3 + 11 = 14 (left: 6 10 14)\n14 - 10 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (3 + 11 - 10) * 6 = 24
6 10 10 10,10 + 10 = 20 (left: 6 10 20)\n20 + 6 = 26 (left: 10 26)\n10 * 10 = 100 (left: 6 10 100)\n100 / 10 = 10 (left: 6 10)\n10 + 10 = 20 (left: 6 10 20)\n20 - 6 = 14 (left: 10 14)\n6 * 10 = 60 (left: 10 10 60)\n60 / 10 = 6 (left: 10 6)\n6 * 10 = 60 (left: 10 10 60)\n60 / 10 = 6 (left: 10 6)\n10 - 6 = 4 (left: 4 10 10)\n10 + 4 = 14 (left: 10 14)\n10 + 10 = 20 (left: 6 10 20)\n20 - 6 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: (10 + 10) - 6 + 10 = 24
4 6 7 8,"8 - 7 = 1 (left: 1, 4, 6)\n6 * 4 = 24 (left: 1, 24)\n24 * 1 = 24 (left: 24)\nAnswer: (6 * 4) * (8 - 7) = 24"
1 5 8 10,1 + 5 = 6 (left: 6 8 10)\n8 + 6 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: ((1 + 5) + 8) + 10 = 24
1 2 5 6,1 + 5 = 6 (left: 2 6 6)\n6 - 2 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (1 + 5) * (6 - 2) = 24
6 7 12 13,12 + 13 = 25 (left: 6 7 25)\n25 - 7 = 18 (left: 6 18)\n18 + 6 = 24 (left: 24)\nAnswer: ((12 + 13) - 7) + 6 = 24
1 6 6 10,1 + 10 = 11 (left: 6 6 11)\n6 * 6 = 36 (left: 11 36)\n36 - 11 = 25 (left: 25)\n6 + 6 = 12 (left: 1 10 12)\n12 * 1 = 12 (left: 10 12)\n12 + 10 = 22 (left: 22)\n1 * 6 = 6 (left: 6 10 6)\n10 - 6 = 4 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (1 * 6) * (10 - 6) = 24
11 12 12 13,11 + 13 = 24 (left: 12 12 24)\n12 / 12 = 1 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (11 + 13) * (12 / 12) = 24
5 7 11 11,11 + 11 = 22 (left: 5 7 22)\n22 + 7 = 29 (left: 5 29)\n29 - 5 = 24 (left: 24)\nAnswer: (11 + 11) + (7 - 5) = 24
2 2 2 4,2 + 2 = 4 (left: 2 4 4)\n4 * 4 = 16 (left: 2 16)\n16 + 2 = 18 (left: 18)\n2 * 2 = 4 (left: 2 4 4)\n4 * 4 = 16 (left: 2 16)\n16 + 2 = 18 (left: 18)\n2 + 2 = 4 (left: 2 4 4)\n4 + 4 = 8 (left: 2 8)\n8 * 2 = 16 (left: 16)\n2 + 2 = 4 (left: 2 4 4)\n4 + 2 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer:  (2 + 2) * (4 + 2) = 24
2 4 13 13,13 - 4 = 9 (left: 2 9 13)\n9 + 13 = 22 (left: 2 22)\n22 + 2 = 24 (left: 24)\nAnswer: ((13 - 4) + 13) + 2 = 24
7 9 13 13,13 - 7 = 6 (left: 6 9 13)\n9 - 6 = 3 (left: 3 13)\n3 * 13 = 39 (left: 39)\n13 - 9 = 4 (left: 4 7 13)\n13 - 7 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (13 - 9) * (13 - 7) = 24
9 11 11 11,"11 - 9 = 2 (left: 2, 11, 11)\n11 + 11 = 22 (left: 2, 22)\n22 + 2 = 24 (left: 24)\nAnswer: ((11 - 9) + (11 + 11)) = 24"
1 3 4 4,4 + 4 = 8 (left: 1 3 8)\n8 * 3 = 24 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (4 + 4) * 3 * 1 = 24
2 6 10 12,2 * 6 = 12 (left: 10 12 12)\n12 + 12 = 24 (left: 10 24)\n24 - 10 = 14 (left: 14)\n6 - 2 = 4 (left: 4 10 12)\n12 - 4 = 8 (left: 8 10)\n8 * 3 = 24 (left: 24)\n2 + 10 = 12 (left: 6 12)\n12 + 12 = 24 (left: 6 24)\n24 - 6 = 18 (left: 18)\n12 / 6 = 2 (left: 2 10 2)\n2 + 10 = 12 (left: 12 2)\n12 * 2 = 24 (left: 24)\nAnswer: (12 / 6 + 10) * 2 = 24
11 11 12 13,11 + 13 = 24 (left: 11 12 24)\n12 - 11 = 1 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (11 + 13) * (12 - 11) = 24
1 6 8 8,1 + 8 = 9 (left: 6 8 9)\n9 - 6 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (1 + 8 - 6) * 8 = 24
1 7 7 9,1 + 7 = 8 (left: 7 8 9)\n7 + 8 = 15 (left: 9 15)\n15 + 9 = 24 (left: 24)\nAnswer: (1 + 7) + (7 + 9) = 24
1 2 2 13,13 - 2 = 11 (left: 1 2 11)\n11 + 1 = 12 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (13 - 2 + 1) * 2 = 24
2 2 7 13,13 - 7 = 6 (left: 2 2 6)\n2 * 2 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (13 - 7) * (2 * 2) = 24
3 4 11 12,12 - 4 = 8 (left: 3 8 11)\n11 - 3 = 8 (left: 8 8)\n8 * 8 = 64 (left: 64)\n12 - 11 = 1 (left: 1 3 4)\n4 * 3 = 12 (left: 1 12)\n12 * 1 = 12 (left: 12)\n12 / 4 = 3 (left: 3 3 11)\n11 - 3 = 8 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer:  (12 / 4) * (11 - 3) = 24
1 3 4 11,11 - 4 = 7 (left: 1 3 7)\n7 + 1 = 8 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: ((11 - 4) + 1) * 3 = 24
2 9 10 12,12 * 2 = 24 (left: 9 10 24)\n10 - 9 = 1 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (12 * 2) * (10 - 9) = 24
1 5 9 9,1 + 9 = 10 (left: 5 9 10)\n5 + 9 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: (1 + 9) + (5 + 9) = 24
2 6 7 9,9 - 7 = 2 (left: 2 2 6)\n2 + 2 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (9 - 7 + 2) * 6 = 24
1 3 4 5,4 * 5 = 20 (left: 1 3 20)\n20 + 3 = 23 (left: 1 23)\n23 + 1 = 24 (left: 24)\nAnswer: (4 * 5) + 3 + 1 = 24
1 7 9 13,13 - 9 = 4 (left: 1 4 7)\n7 - 1 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (13 - 9) * (7 - 1) = 24
1 6 8 13,1 + 13 = 14 (left: 6 8 14)\n14 - 6 = 8 (left: 8 8)\n8 * 8 = 64 (left: 64)\n6 + 8 = 14 (left: 1 13 14)\n14 - 1 = 13 (left: 13 13)\n13 + 13 = 26 (left: 26)\n1 + 8 = 9 (left: 6 9 13)\n13 - 9 = 4 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer:  ((13 - (1 + 8)) * 6) = 24
10 11 11 12,12 + 11 = 23 (left: 10 11 23)\n23 + 11 = 34 (left: 10 34)\n34 - 10 = 24 (left: 24)\nAnswer: (12 + 11 + 11) - 10 = 24
6 8 13 13,13 - 8 = 5 (left: 6 5 13)\n6 + 5 = 11 (left: 11 13)\n13 + 11 = 24 (left: 24)\nAnswer: (13 + (6 + (13 - 8))) = 24
2 2 4 7,2 + 2 = 4 (left: 4 4 7)\n4 * 7 = 28 (left: 4 28)\n28 - 4 = 24 (left: 24)\nAnswer: (2 + 2) * 7 - 4 = 24
4 4 4 7,4 + 4 = 8 (left: 4 7 8)\n7 - 4 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (7 - 4) * (4 + 4) = 24
2 4 8 10,2 * 10 = 20 (left: 4 8 20)\n8 - 4 = 4 (left: 4 20)\n20 + 4 = 24 (left: 24)\nAnswer: (2 * 10) + (8 - 4) = 24
3 4 9 12,3 * 4 = 12 (left: 9 12 12)\n12 + 12 = 24 (left: 9 24)\n24 - 9 = 15 (left: 15)\n12 - 9 = 3 (left: 3 3 4)\n3 + 3 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: 4 * ((12 - 9) + 3) = 24
2 6 11 13,13 - 11 = 2 (left: 2 2 6)\n2 + 2 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (13 - 11 + 2) * 6 = 24
4 8 10 11,11 + 4 = 15 (left: 8 10 15)\n15 - 10 = 5 (left: 8 5)\n8 * 5 = 40 (left: 40)\n11 - 4 = 7 (left: 8 10 7)\n10 - 7 = 3 (left: 8 3)\n8 * 3 = 24 (left: 24)\nAnswer: (8 * (10 - (11 - 4))) = 24
1 6 9 13,13 - 9 = 4 (left: 1 4 6)\n4 * 6 = 24 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (13 - 9) * 6 * 1 = 24
6 6 10 12,"6 + 6 = 12 (left: 10, 12, 12)\n12 - 10 = 2 (left: 2, 12)\n2 * 12 = 24 (left: 24)\nAnswer:  (6 + 6) * (12 - 10) = 24"
3 5 8 11,3 + 8 = 11 (left: 5 11 11)\n11 + 11 = 22 (left: 5 22)\n22 + 5 = 27 (left: 27)\n3 * 5 = 15 (left: 8 11 15)\n11 - 8 = 3 (left: 3 15)\n15 + 3 = 18 (left: 18)\n3 + 11 = 14 (left: 5 8 14)\n14 - 5 = 9 (left: 8 9)\n9 * 8 = 72 (left: 72)\n3 + 8 = 11 (left: 5 11 11)\n11 + 11 = 22 (left: 5 22)\n22 - 5 = 17 (left: 17)\n3 * 8 = 24 (left: 5 11 24)\n11 - 5 = 6 (left: 6 24)\n24 - 6 = 18 (left: 18)\n8 - 5 = 3 (left: 3 3 11)\n3 + 11 = 14 (left: 14 3)\n14 - 3 = 11 (left: 11)\n11 - 8 = 3 (left: 3 5 3)\n5 + 3 = 8 (left: 8 3)\n8 * 3 = 24 (left: 24)\n11 - 8 = 3 (left: 3 5 3)\n5 + 3 = 8 (left: 8 3)\n8 * 3 = 24 (left: 24)\nAnswer: (11 - 8) * (5 + 3) = 24
2 4 6 10,10 - 6 = 4 (left: 2 4 4)\n4 + 4 = 8 (left: 2 8)\n2 * 8 = 16 (left: 16)\n6 - 2 = 4 (left: 4 10)\n10 + 4 = 14 (left: 4 14)\n14 - 4 = 10 (left: 10)\n4 * 2 = 8 (left: 6 10 8)\n10 - 8 = 2 (left: 6 2)\n6 * 2 = 12 (left: 12)\n10 - 6 = 4 (left: 2 4 4)\n2 * 4 = 8 (left: 4 8)\n4 * 8 = 32 (left: 32)\n10 - 6 = 4 (left: 2 4 4)\n4 + 2 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: (10 - 6) * (4 + 2) = 24
3 4 7 9,3 * 4 = 12 (left: 7 9 12)\n9 - 7 = 2 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (3 * 4) * (9 - 7) = 24
4 8 9 10,10 - 4 = 6 (left: 6 8 9)\n9 - 6 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (9 - (10 - 4)) * 8 = 24
3 9 12 13,13 - 9 = 4 (left: 3 4 12)\n4 * 3 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: (13 - 9) * 3 + 12 = 24
1 2 5 9,1 + 2 = 3 (left: 3 5 9)\n3 * 5 = 15 (left: 15 9)\n15 + 9 = 24 (left: 24)\nAnswer: (1 + 2) * 5 + 9 = 24
3 4 10 12,12 - 10 = 2 (left: 2 3 4)\n4 * 3 = 12 (left: 2 12)\n2 * 12 = 24 (left: 24)\nAnswer: ((12 - 10) * (4 * 3)) = 24
3 7 10 11,11 - 7 = 4 (left: 3 4 10)\n10 - 4 = 6 (left: 3 6)\n6 * 3 = 18 (left: 18)\n10 - 7 = 3 (left: 3 3 11)\n11 - 3 = 8 (left: 3 8)\n8 * 3 = 24 (left: 24)\nAnswer: (10 - 7) * (11 - 3) = 24
4 5 9 10,4 + 10 = 14 (left: 5 9 14)\n14 - 5 = 9 (left: 9 9)\n9 + 9 = 18 (left: 18)\n4 * 5 = 20 (left: 9 10 20)\n20 - 9 = 11 (left: 10 11)\n11 + 10 = 21 (left: 21)\n4 + 5 = 9 (left: 9 10 9)\n9 + 9 = 18 (left: 10 18)\n18 + 10 = 28 (left: 28)\n10 - 4 = 6 (left: 5 9 6)\n9 - 5 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer:  (10 - 4) * (9 - 5) = 24
5 8 11 13,13 - 11 = 2 (left: 5 8 2)\n5 - 2 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (5 - (13 - 11)) * 8 = 24
2 4 8 11,11 - 8 = 3 (left: 2 4 3)\n4 * 3 = 12 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (11 - 8) * 4 * 2 = 24
5 8 9 11,11 - 5 = 6 (left: 6 8 9)\n9 - 6 = 3 (left: 3 8)\n3 * 8 = 24 (left: 24)\nAnswer: (9 - (11 - 5)) * 8 = 24
3 4 7 10,3 + 7 = 10 (left: 4 10 10)\n4 + 10 = 14 (left: 10 14)\n14 + 10 = 24 (left: 24)\nAnswer: ((3 + 7) + 4) + 10 = 24
2 4 4 4,4 * 4 = 16 (left: 2 4 16)\n16 - 4 = 12 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (4 * 4 - 4) * 2 = 24
