Rank,Puzzle,Response
123,1 5 8 8,1 + 8 = 9 (left: 5 8 9)\n9 + 8 = 17 (left: 5 17)\n17 - 5 = 12 (left: 12)\n12 * 1 = 12 (left: 24)\n
136,11 13 13 13,\n
138,1 3 6 12,12 / 3 = 4 (left: 1 4 6)\n4 * 6 = 24 (left: 1 24)\n24 + 1 = 25 (left: 25)\n
146,4 8 10 10,10 + 8 = 18 (left: 4 10 18)\n18 - 10 = 8 (left: 4 8)\n4 * 8 = 32 (left: 32)\n10 - 8 = 2 (left: 4 10 2)\n4 * 2 = 8 (left: 10 8)\n10 + 8 = 18 (left: 18)\n10 + 10 = 20 (left: 4 8 20)\n20 - 8 = 12 (left: 4 12)\n4 * 3 = 12 (left: 12)\n4 + 8 = 12 (left: 10 10 12)\n10 - 10 = 0 (left: 12 0)\n12 - 0 = 12 (left: 12)\n4 * 10 = 40 (left: 8 10 40)\n40 - 10 = 30 (left: 8 30)\n8 * 10 = 80 (left: 4 10 80)\n80 / 10 = 8 (left: 4 8)\n4 * 8 = 32 (left: 32)\n8 + 4 = 12 (left: 10 10 12)\n10 + 10 = 20 (left: 12 20)\n10 + 4 = 14 (left: 8 10 14)\n14 - 10 = 4 (left: 8 4)\n8 * 4 = 32 (left: 32)\n10 + 4 = 14 (left: 8 10 14)\n14 + 10 = 24 (left: 8 24)\n24 * 1 = 24 (left: 24)\n
149,3 6 13 13,13 - 6 = 7 (left: 3 7 13)\n7 - 3 = 4 (left: 4 13)\n4 * 13 = 52 (left: 52)\n13 - 13 = 0 (left: 0 3 6)\n6 * 3 = 18 (left: 0 18)\n18 + 6 = 24 (left: 24)\n13 - 3 = 10 (left: 6 10 13)\n13 - 6 = 7 (left: 7 10)\n7 + 10 = 17 (left: 17)\n13 - 6 = 7 (left: 3 7 13)\n13 - 7 = 6 (left: 3 6)\n6 * 3 = 18 (left: 13 13 18)\n18 - 13 = 5 (left: 5 13)\n5 + 13 = 18 (left: 18)\n6 * 3 = 18 (left: 13 13 18)\n18 - 13 = 5 (left: 5 13)\n5 + 13 = 18 (left: 18)\n13 - 3 = 10 (left: 6 10 13)\n10 + 6 = 16 (left: 16 13)\n13 + 16 = 29 (left: 29)\n6 + 13 = 19 (left: 3 13 19)\n19 - 13 = 6 (left: 3 6)\n6 * 3 = 18 (left: 13 13 18)\n18 - 13 = 5 (left: 5 13)\n5 + 13 = 18 (left: 18)\n6 * 3 = 18 (left: 13 13 18)\n18 - 13 = 5 (left: 5 13)\n5 + 13 = 18 (left: 18)\n
154,1 7 8 9,1 + 8 = 9 (left: 7 9 9)\n9 + 9 = 18 (left: 7 18)\n18 - 7 = 11 (left: 11)\n
165,5 5 5 5,5 + 5 = 10 (left: 5 5 10)\n10 - 5 = 5 (left: 5 5)\n5 + 5 = 10 (left: 5 5 10)\n10 - 5 = 5 (left: 5 5)\n5 * 5 = 25 (left: 5 5 25)\n25 - 5 = 20 (left: 5 20)\n5 + 5 = 10 (left: 5 5 10)\n5 - 5 = 0 (left: 0 10)\n5 + 5 = 10 (left: 5 5 10)\n5 + 5 = 10 (left: 10 10)\n5 + 5 = 10 (left: 5 5 10)\n5 * 5 = 25 (left: 10 25)\n5 + 5 = 10 (left: 5 5 10)\n10 + 5 = 15 (left: 5 15)\n5 + 5 = 10 (left: 5 5 10)\n10 - 5 = 5 (left: 5 5)\n5 + 5 = 10 (left: 5 5 10)\n10 - 5 = 5 (left: 5 5)\n5 + 5 = 10 (left: 5 5 10)\n10 - 5 = 5 (left: 5 5)\n5 + 5 = 10 (left: 5 5 10)\n10 - 5 = 5 (left: 5 5)\n5 + 5 = 10 (left: 5 5 10)\n10 - 5 = 5 (left: 5 5)\n5 * 5 = 25 (left: 5 5 25)\n25 - 5 = 20 (left: 5 20)\n5 + 5 = 10 (left: 5 5 10)\n5 - 5 = 0 (left: 0 10)\n
168,4 6 10 10,4 + 10 = 14 (left: 6 10 14)\n10 - 6 = 4 (left: 4 14)\n4 * 14 = 56 (left: 56)\n
169,1 1 3 13,1 + 13 = 14 (left: 1 3 14)\n3 - 1 = 2 (left: 2 14)\n14 + 2 = 16 (left: 16)\n1 + 1 = 2 (left: 2 3 13)\n13 - 3 = 10 (left: 2 10)\n2 * 10 = 20 (left: 20)\n3 + 1 = 4 (left: 1 4 13)\n4 * 1 = 4 (left: 4 13)\n3 + 13 = 16 (left: 1 1 16)\n16 - 1 = 15 (left: 1 15)\n15 + 1 = 16 (left: 16)\n1 + 3 = 4 (left: 1 4 13)\n4 + 13 = 17 (left: 1 17)\n17 - 1 = 16 (left: 16)\n1 + 13 = 14 (left: 1 3 14)\n14 - 3 = 11 (left: 1 11)\n11 + 1 = 12 (left: 12)\n1 + 1 = 2 (left: 2 3 13)\n2 * 3 = 6 (left: 6 13)\n13 + 6 = 19 (left: 19)\n1 + 1 = 2 (left: 2 3 13)\n13 - 3 = 10 (left: 2 10)\n2 * 10 = 20 (left: 20)\n3 + 13 = 16 (left: 1 1 16)\n1 + 1 = 2 (left: 2 16)\n16 - 2 = 14 (left: 14)\n1 + 3 = 4 (left: 1 4 13)\n4 - 1 = 3 (left: 3 13)\n13 + 3 = 16 (left: 16)\n1 + 1 = 2 (left: 2 3 13)\n13 - 3 = 10 (left: 2 10)\n2 * 10 = 20 (left: 20)\n1 + 3 = 4 (left: 1 4 13)\n4 * 1 = 4 (left: 4 13)\n1 + 1 = 2 (left: 2 3 13)\n2 * 3 = 6 (left: 6 13)\n13 + 6 = 19 (left: 19)\n1 + 1 = 2 (left: 2 3 13)\n13 - 3 = 10 (left: 2 10)\n2 * 10 = 20 (left: 20)\n1 + 3 = 4 (left: 1 4 13)\n4 * 1 = 4 (left: 4 13)\n1 + 1 = 2 (left: 2 3 13)\n2 * 3 = 6 (left: 6 13)\n1 + 1 = 2 (left: 2 3 13)\n2 * 3 = 6 (left: 6 13)\n
178,1 2 10 12,12 - 10 = 2 (left: 1 2 2)\n2 + 2 = 4 (left: 1 4)\n12 * 2 = 24 (left: 1 10 24)\n10 - 1 = 9 (left: 9 24)\n24 - 9 = 15 (left: 15)\n12 + 10 = 22 (left: 1 2 22)\n22 - 1 = 21 (left: 2 21)\n21 + 2 = 23 (left: 23)\n
184,1 1 6 6,1 + 6 = 7 (left: 1 6 7)\n6 - 1 = 5 (left: 5 7)\n5 * 7 = 35 (left: 35)\n
187,3 4 12 12,3 + 12 = 15 (left: 4 12 15)\n12 - 4 = 8 (left: 8 15)\n3 * 4 = 12 (left: 12 12 12)\n12 / 12 = 1 (left: 12 1)\n12 * 1 = 12 (left: 12)\n3 * 4 = 12 (left: 12 12 12)\n12 + 12 = 24 (left: 24 12)\n3 + 12 = 15 (left: 4 12 15)\n12 / 4 = 3 (left: 3 15)\n3 + 15 = 18 (left: 18)\n3 * 4 = 12 (left: 12 12 12)\n12 + 12 = 24 (left: 24 12)\n
191,3 8 11 12,3 * 8 = 24 (left: 11 12 24)\n11 + 12 = 23 (left: 23 24)\n3 + 11 = 14 (left: 8 12 14)\n8 + 12 = 20 (left: 14 20)\n3 + 12 = 15 (left: 8 11 15)\n8 - 3 = 5 (left: 5 11 15)\n11 + 5 = 16 (left: 15 16)\n3 + 8 = 11 (left: 11 12 11)\n11 - 11 = 0 (left: 0 12)\n12 - 8 = 4 (left: 3 4 11)\n3 + 4 = 7 (left: 7 11)\n3 + 11 = 14 (left: 8 12 14)\n8 + 12 = 20 (left: 14 20)\n3 * 8 = 24 (left: 11 12 24)\n11 + 12 = 23 (left: 23 24)\n3 * 8 = 24 (left: 11 12 24)\n11 + 12 = 23 (left: 23 24)\n3 * 8 = 24 (left: 11 12 24)\n11 + 12 = 23 (left: 23 24)\n
196,2 11 11 11,11 - 2 = 9 (left: 11 11 9)\n11 - 9 = 2 (left: 11 2)\n11 * 2 = 22 (left: 22)\n22 + 2 = 24 (left: 24)\n
205,5 5 12 13,5 + 5 = 10 (left: 10 12 13)\n12 - 10 = 2 (left: 2 13)\n5 + 12 = 17 (left: 5 13 17)\n17 - 13 = 4 (left: 4 5)\n5 + 13 = 18 (left: 5 12 18)\n12 - 5 = 7 (left: 7 18)\n5 + 12 = 17 (left: 5 13 17)\n17 - 5 = 12 (left: 12 13)\n5 + 13 = 18 (left: 5 12 18)\n18 - 12 = 6 (left: 5 6)\n5 + 5 = 10 (left: 10 12 13)\n13 - 10 = 3 (left: 3 12)\n5 * 5 = 25 (left: 12 13 25)\n5 + 5 = 10 (left: 10 12 13)\n12 - 10 = 2 (left: 2 13)\n5 * 5 = 25 (left: 12 13 25)\n5 * 12 = 60 (left: 13 60)\n
206,10 13 13 13,13 - 13 = 0 (left: 10 13 0)\n10 * 0 = 0 (left: 13 0)\n13 + 0 = 13 (left: 13)\n13 - 10 = 3 (left: 3 13 13)\n13 - 3 = 10 (left: 10 13)\n13 + 10 = 23 (left: 23)\n13 + 13 = 26 (left: 10 26 13)\n26 - 13 = 13 (left: 10 13)\n10 + 13 = 23 (left: 23)\n13 + 13 = 26 (left: 10 26 13)\n26 - 10 = 16 (left: 16 13)\n13 + 13 = 26 (left: 10 26 13)\n26 - 13 = 13 (left: 10 13)\n13 + 10 = 23 (left: 23)\n13 + 13 = 26 (left: 10 26 13)\n13 - 10 = 3 (left: 3 26)\n13 - 10 = 3 (left: 3 13 13)\n13 - 3 = 10 (left: 10 13)\n13 + 10 = 23 (left: 23)\n13 + 13 = 26 (left: 10 26 13)\n13 - 10 = 3 (left: 3 26)\n13 + 13 = 26 (left: 10 26 13)\n26 / 13 = 2 (left: 10 2)\n10 * 2 = 20 (left: 20)\n
211,1 5 5 12,1 + 5 = 6 (left: 5 6 12)\n1 + 12 = 11 (left: 11)\n12 * 1 = 12 (left: 5 5 12)\n5 + 5 = 10 (left: 10 12)\n5 + 5 = 10 (left: 1 10 12)\n12 - 10 = 2 (left: 1 2)\n5 + 5 = 10 (left: 1 10 12)\n10 + 1 = 11 (left: 11 12)\n
212,1 5 7 13,13 - 7 = 6 (left: 1 5 6)\n5 + 1 = 6 (left: 6 6)\n6 * 6 = 36 (left: 36)\n
224,1 2 2 8,1 + 2 = 3 (left: 2 3 8)\n2 * 8 = 16 (left: 3 16)\n3 + 16 = 19 (left: 19)\n
226,1 1 5 7,1 + 1 = 2 (left: 2 5 7)\n7 - 5 = 2 (left: 2 2)\n
230,3 11 11 12,3 + 11 = 14 (left: 11 12 14)\n14 - 11 = 3 (left: 3 12)\n3 * 12 = 36 (left: 36)\n11 + 11 = 22 (left: 3 12 22)\n12 - 3 = 9 (left: 9 22)\n22 - 9 = 13 (left: 13)\n3 * 12 = 36 (left: 11 11 36)\n36 - 11 = 25 (left: 11 25)\n25 - 11 = 14 (left: 14)\n
